Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
single,Over 23 years old,2,Oral Hygiene,daytime,Secondary education,133.1,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,136.1,No,No,No,Yes,Male,No,26,No,0,7,7,2,11.75,0,0,5,10,0,0.0,0,12.4,0.5,1.79,Dropout
single,1st phase - general contingent,2,Tourism,daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,115.1,Yes,No,No,No,Male,No,21,No,0,6,11,3,11.0,0,0,6,14,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,1st phase - special contingent (Madeira Island),2,Animation and Multimedia Design,daytime,Secondary education,145.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,143.6,Yes,No,No,Yes,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,1,Management,daytime,Secondary education,127.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",115.8,Yes,No,No,Yes,Male,No,18,No,0,5,5,5,13.4,0,0,5,6,5,12.2,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,2,Animation and Multimedia Design,daytime,Secondary education,135.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",149.0,Yes,No,No,Yes,Male,No,22,No,14,17,21,17,12.57894737,0,15,17,20,17,12.11764706,0,11.1,0.6,2.02,Graduate
married,Over 23 years old,1,Informatics Engineering,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,100.0,No,No,No,Yes,Male,No,36,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133.4,Yes,No,No,Yes,Male,Yes,20,No,0,6,8,6,12.0,0,0,6,8,6,11.5,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,5,Advertising and Marketing Management,daytime,Secondary education,127.0,Portuguese,Higher Education - Degree,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,122.8,No,No,No,Yes,Male,No,20,No,0,6,6,3,12.33333333,0,0,6,9,0,0.0,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,151.2,No,No,No,Yes,Male,No,25,No,0,5,11,4,11.5,0,0,5,11,3,13.5,0,12.4,0.5,1.79,Dropout
single,Over 23 years old,1,Agronomy,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,137.0,No,No,No,Yes,Male,No,35,No,1,6,7,5,12.8,0,1,6,11,5,13.83333333,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",118.0,No,No,No,Yes,Male,No,22,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Dropout
single,Change of course,1,Communication Design,daytime,Secondary education,150.0,Portuguese,Higher Education - Degree,Technological specialization course,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",126.4,No,No,No,Yes,Male,No,26,No,5,7,8,7,13.28571429,0,3,8,11,7,12.14285714,0,12.4,0.5,1.79,Enrolled
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",130.0,No,No,Yes,No,Male,No,20,No,0,6,16,4,11.8,0,0,6,15,2,12.0,0,16.2,0.3,-0.92,Dropout
single,Change of course,1,Social Service (evening attendance),evening,Other - 11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Armed Forces Professions,112.5,No,No,No,Yes,Male,No,50,No,6,13,13,6,11.33333333,0,2,11,11,2,13.5,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,125.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,118.3,No,No,No,Yes,Male,No,20,No,0,8,12,5,12.002,1,0,8,12,5,12.002,1,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,127.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,121.4,No,No,No,Yes,Male,No,20,No,0,7,10,5,13.97666667,0,0,8,9,8,13.22222222,0,12.4,0.5,1.79,Enrolled
single,Holders of other higher courses,1,Agronomy,daytime,Higher education - degree,140.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,140.0,No,No,No,No,Male,No,35,No,0,6,10,5,15.2,0,1,6,9,1,11.0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,110.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",109.0,No,No,No,Yes,Male,Yes,19,No,0,6,7,6,13.14285714,0,0,6,8,6,14.16666667,0,15.5,2.8,-4.06,Graduate
married,Over 23 years old,2,Management,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",110.0,No,No,No,Yes,Male,No,43,No,0,5,14,0,0.0,1,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,2nd phase - general contingent,5,Nursing,daytime,Secondary education,124.0,Portuguese,Higher Education - Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",119.8,No,No,No,Yes,Male,No,19,No,0,8,11,7,13.86714286,0,0,8,11,7,13.86714286,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,1,Nursing,daytime,Secondary education,114.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.0,No,No,No,Yes,Male,No,25,No,0,8,11,6,12.675,0,0,8,11,6,12.675,0,12.7,3.7,-1.7,Graduate
single,1st phase - special contingent (Madeira Island),1,Animation and Multimedia Design,daytime,Secondary education,155.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,167.3,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate
single,2nd phase - general contingent,2,Basic Education,daytime,Secondary education,114.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,111.9,Yes,No,No,Yes,Male,Yes,20,No,0,6,6,6,12.0,0,0,6,7,6,12.5,0,7.6,2.6,0.32,Enrolled
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",136.0,Yes,No,No,Yes,Male,No,22,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,Tourism,daytime,Secondary education,125.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,124.0,No,No,No,Yes,Male,Yes,19,No,0,6,7,6,11.0,0,0,6,6,5,12.2,0,11.1,0.6,2.02,Dropout
married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,132.9,No,No,No,Yes,Male,No,32,No,0,5,11,4,10.75,0,0,5,11,4,11.33333333,0,13.9,-0.3,0.79,Dropout
married,Over 23 years old,1,Journalism and Communication,daytime,Basic education 2nd cycle (6th/7th/8th year) or equiv.,100.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",154.0,Yes,No,No,Yes,Male,No,57,No,0,6,7,5,14.2,0,0,6,6,6,14.16666667,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",115.0,No,No,No,No,Male,No,20,No,0,7,11,4,12.6,0,0,7,7,4,11.575,0,16.2,0.3,-0.92,Dropout
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",96.0,Yes,No,No,No,Male,No,38,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout
married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Degree,Unskilled Workers,Intermediate Level Technicians and Professions,168.2,No,No,No,Yes,Male,No,45,No,0,5,6,5,14.0,0,0,5,6,5,14.16666667,0,12.4,0.5,1.79,Graduate
married,Over 23 years old,1,Journalism and Communication,daytime,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,140.0,No,No,Yes,No,Male,No,43,No,0,6,16,2,10.0,0,0,6,12,4,12.25,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,4,Communication Design,daytime,Secondary education,144.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,137.4,Yes,No,No,Yes,Male,No,19,No,0,6,6,6,13.83333333,0,0,6,8,6,13.125,0,10.8,1.4,1.74,Graduate
married,Over 23 years old,1,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,150.0,No,No,No,No,Male,No,49,No,0,5,8,2,11.0,0,0,5,5,1,11.0,0,15.5,2.8,-4.06,Dropout
married,Over 23 years old,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",100.5,Yes,No,No,Yes,Male,No,43,No,0,8,8,7,11.63571429,0,0,8,8,7,11.63571429,0,10.8,1.4,1.74,Enrolled
single,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,148.5,No,No,No,Yes,Male,No,34,No,0,6,6,4,12.25,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,5,Informatics Engineering,daytime,Secondary education,138.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",123.3,Yes,No,Yes,Yes,Male,No,18,No,0,5,9,4,12.5,0,0,5,11,5,11.28571429,0,12.4,0.5,1.79,Enrolled
married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",Administrative staff,138.7,No,No,No,Yes,Male,No,43,No,0,5,5,5,13.8,0,0,5,6,5,13.66666667,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,2,Tourism,daytime,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,117.2,No,No,No,Yes,Male,No,21,No,0,6,8,3,12.0,0,0,6,9,1,11.0,0,15.5,2.8,-4.06,Dropout
married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,160.0,Portuguese,Unknown,Unknown,(blank),(blank),114.3,No,No,No,Yes,Male,No,40,No,0,5,9,3,11.0,0,0,5,8,4,12.5,1,7.6,2.6,0.32,Enrolled
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,134.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",125.3,Yes,No,No,Yes,Male,Yes,19,No,0,6,7,4,13.75,0,0,6,10,6,11.55555556,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,1,Tourism,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",97.0,No,No,No,Yes,Male,No,27,No,0,6,6,6,10.66666667,0,0,6,8,4,11.25,0,10.8,1.4,1.74,Enrolled
married,Transfer,1,Oral Hygiene,daytime,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,No,No,No,Yes,Male,No,43,No,0,7,7,0,0.0,0,0,8,13,2,13.15,0,16.2,0.3,-0.92,Dropout
single,Change of course,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,124.0,No,No,No,Yes,Male,No,31,No,1,5,6,5,13.83333333,0,0,5,7,5,15.4,0,9.4,-0.8,-3.12,Graduate
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Intermediate level technicians from legal, social, sports, cultural and similar services","Intermediate level technicians from legal, social, sports, cultural and similar services",140.0,Yes,No,Yes,Yes,Male,No,26,No,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Enrolled
single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Workers in food processing, woodworking, clothing and other industries and crafts",Other Armed Forces personnel,127.0,No,No,No,Yes,Male,No,34,No,0,5,5,5,15.8,0,0,5,5,5,16.8,0,8.9,1.4,3.51,Graduate
divorced,Change of course,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100.0,Portuguese,Unknown,Unknown,Student,Student,110.0,No,No,No,Yes,Male,No,30,No,11,14,26,12,12.52608696,1,11,14,26,12,12.52608696,1,7.6,2.6,0.32,Graduate
married,Over 23 years old,1,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,170.0,No,No,No,Yes,Male,No,36,No,0,7,9,6,12.78333333,0,0,8,11,0,0.0,0,16.2,0.3,-0.92,Dropout
single,Holders of other higher courses,1,Management (evening attendance),evening,Higher education - degree,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Skilled Workers in Industry, Construction and Craftsmen",120.0,No,No,Yes,No,Male,No,46,No,0,5,5,0,0.0,0,0,5,5,1,10.0,0,11.1,0.6,2.02,Dropout
single,2nd phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,130.0,No,No,No,Yes,Male,No,22,No,0,5,8,3,13.0,0,0,5,8,3,10.66666667,0,7.6,2.6,0.32,Graduate
single,Holders of other higher courses,1,Agronomy,daytime,Higher education - degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,130.0,No,No,No,Yes,Male,No,27,No,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,2,Informatics Engineering,daytime,Secondary education,126.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Office workers, secretaries in general and data processing operators","Unskilled workers in agriculture, animal production, fisheries and forestry",122.5,Yes,No,No,Yes,Male,No,20,No,0,5,7,5,10.8,0,0,5,9,3,12.0,0,8.9,1.4,3.51,Enrolled
single,Change of institution/course,1,Management,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,115.7,No,No,No,Yes,Male,No,20,No,0,5,7,5,11.0,0,0,5,7,3,10.0,0,8.9,1.4,3.51,Enrolled
single,Transfer,1,Informatics Engineering,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other Situation,Other Situation,120.0,No,No,Yes,No,Male,No,31,No,0,4,4,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,Informatics Engineering,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,166.0,Yes,No,Yes,Yes,Male,No,20,No,0,5,7,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled
single,2nd phase - general contingent,1,Journalism and Communication,daytime,Secondary education,145.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Other Situation,Installation and Machine Operators and Assembly Workers,132.8,Yes,No,No,No,Male,No,21,No,0,6,10,2,12.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,1,Management,daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",100.0,No,No,No,Yes,Male,No,21,No,0,5,7,4,10.75,0,0,5,10,2,11.0,3,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,Management,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Master's,Unskilled Workers,Armed Forces Professions,121.8,No,No,No,Yes,Male,No,19,No,0,5,8,5,11.6,0,0,5,10,4,13.5,3,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,4,Management,daytime,Secondary education,114.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,109.5,Yes,No,No,Yes,Male,Yes,20,No,0,5,6,5,11.8,0,0,5,8,4,11.6,0,8.9,1.4,3.51,Graduate
single,1st phase - general contingent,1,Agronomy,daytime,Secondary education,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,138.3,No,No,No,Yes,Male,No,18,No,0,6,7,6,16.0,0,0,6,6,6,15.16666667,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,2,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Intermediate Level Technicians and Professions,131.6,No,No,No,Yes,Male,Yes,18,No,0,6,6,6,12.66666667,0,0,6,6,6,11.5,0,16.2,0.3,-0.92,Graduate
single,Over 23 years old,1,Nursing,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Other administrative support staff,teachers,125.3,No,No,Yes,Yes,Male,No,30,No,0,7,12,4,14.4,0,0,7,9,6,13.5,0,12.4,0.5,1.79,Enrolled
single,Over 23 years old,1,Tourism,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",101.5,No,No,Yes,No,Male,No,34,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,cleaning workers,"Skilled construction workers and the like, except electricians",109.1,No,No,Yes,No,Male,No,21,No,0,6,11,4,12.25,0,0,6,9,4,13.4,0,11.1,0.6,2.02,Enrolled
single,Technological specialization diploma holders,1,Communication Design,daytime,Technological specialization course,123.9,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",123.9,No,No,No,Yes,Male,No,20,No,2,7,9,5,12.6,0,5,9,10,8,12.75,1,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,157.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,143.0,No,No,No,Yes,Male,No,18,No,0,8,8,7,13.4,0,0,8,8,7,13.4,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Intermediate Level Technicians and Professions,126.3,Yes,No,Yes,Yes,Male,No,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
married,Transfer,1,Agronomy,daytime,Secondary education,120.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,113.3,No,No,No,Yes,Male,No,26,No,0,6,9,1,10.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,1,Informatics Engineering,daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,119.9,Yes,No,Yes,Yes,Male,No,20,No,0,5,5,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout
single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors,Directors and Executive Managers",Unskilled Workers,140.0,No,No,No,Yes,Male,No,25,No,0,6,16,3,11.25,0,0,6,14,4,11.2,0,15.5,2.8,-4.06,Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,109.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,108.0,No,No,No,Yes,Male,No,19,No,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
